gene,mean_vcm3,mean_rest,log2fc,pval,fdr
TACO1,0.061888296,0.06521084,-0.07544398,0.3823648227353943,0.7105063907513308
MBNL3,0.07276693,0.09874243,-0.440382,0.38238746898628984,0.7104077691147269
CFDP1,0.43287012,0.4281403,0.015850425,0.3824667373398237,0.710414359477772
MLXIP,0.17583078,0.16906115,0.056642294,0.3825554543446782,0.7104384941927495
SRSF6,0.31603295,0.3073047,0.040404916,0.38262530426411756,0.7104275884832676
EIF3D,0.1048236,0.09882074,0.08507705,0.3828065729369735,0.710623519448889
LEKR1,0.06731468,0.08557038,-0.34618568,0.38311258312844876,0.7110508911792496
TIGAR,0.16495772,0.14937411,0.14316535,0.38321839927329404,0.7111066103603727
CEP57,0.24776009,0.26166838,-0.07879567,0.38332990350424057,0.7111728603276222
MSL1,0.09437621,0.097161874,-0.041966677,0.3834886895701619,0.7113267863873585
PWWP3B,0.12840264,0.13065135,-0.025047064,0.3836002419540808,0.7113930559425156
CIAO1,0.18069911,0.17151596,0.075246334,0.3836191511066749,0.7112875248385028
TTC21B,0.21362793,0.23862563,-0.15964794,0.38373450929526753,0.7113608311021933
PHB2,0.086166486,0.09439232,-0.13154125,0.3837817933758818,0.7113079386512294
RNF103-CHMP3,0.110128514,0.09219902,0.2563622,0.38421508149921924,0.7119703524838386
OLMALINC,0.05632609,0.06393273,-0.18274832,0.38483620744778946,0.7129805091380649
CDC37,0.31917065,0.31159964,0.03463435,0.3851640606814807,0.7134470320461307
THUMPD3,0.09325343,0.091621295,0.025473595,0.38573489416959383,0.7143633590799702
LRP2BP-AS1,0.05875086,0.059227176,-0.011649132,0.3858468456637487,0.7144296637097475
ENSG00000274422,0.038757395,0.0509709,-0.3951931,0.38586392475460973,0.7143203121641177
LRRC69,0.06643074,0.06886348,-0.051887274,0.38589428872283804,0.7142355921873479
GALNT11,0.17636578,0.18774533,-0.09020591,0.38623598390928193,0.714727021900766
MDM1,0.044884674,0.052766796,-0.23340273,0.386484778167251,0.7150463791688324
FKBP2,0.074232064,0.07677373,-0.04856968,0.3865208709510163,0.7149721631037923
TET3,0.083171554,0.08256021,0.010643244,0.38655316623803626,0.7148909532121538
APIP,0.15624313,0.16143392,-0.047150612,0.38668616418207213,0.7149959779968863
NHSL1,0.836963,0.83026373,0.0115941465,0.386910423914241,0.7152696743179131
ZFR,0.6610317,0.63102335,0.06702602,0.38699216540181436,0.7152798455082392
ENSG00000268750,0.05454862,0.050514955,0.11082983,0.38733445339990735,0.7157714874528128
ST8SIA5,0.25022295,0.24298044,0.042373776,0.3874295661513638,0.7158062602662653
EMP2,0.27732557,0.28220367,-0.025156021,0.38754942849109775,0.7158867371733568
NOP58,0.23629034,0.23269196,0.02213931,0.3875513312501657,0.7157493286986328
PGRMC1,0.055331826,0.058456704,-0.07925749,0.3876864417003004,0.7158579405692224
CYB5R3,0.23291211,0.20934318,0.15391493,0.38771689308925317,0.7157732961360436
PTTG1IP,0.18889545,0.18508798,0.029376507,0.3877245061642757,0.7156465309528299
TRIT1,0.29678667,0.30090815,-0.019896746,0.3878006419256541,0.7156462672200014
CLCN6,0.14208844,0.14351673,-0.014429808,0.3878786905364995,0.7156495328639997
CAPN1,0.11264748,0.116624705,-0.050057888,0.38823098012678936,0.7161586817832359
MED15,0.25122452,0.23499024,0.09637618,0.3883052714492853,0.7161549158123047
UBOX5,0.094087765,0.09449789,-0.0062749386,0.38843863656638733,0.7162600802409289
KAT7,0.13356692,0.13769841,-0.04394889,0.38844054198443,0.7161228463151744
HSPD1,0.15827347,0.16120268,-0.026456118,0.38857774704269543,0.7162350535863593
TMEM230,0.14898881,0.16071264,-0.10927868,0.38896665494024774,0.7168110698584569
CLSTN1,0.1394773,0.1468869,-0.074674845,0.3889914463139904,0.716715975906885
SEPTIN7-DT,0.043714058,0.053551696,-0.29282904,0.3894302219402427,0.717383534703192
ANKRD40,0.1482749,0.13970184,0.08592272,0.3897967346905282,0.7179177394712477
TCTA,0.09699499,0.09431131,0.040478945,0.389838744333907,0.7178541902533297
MYO5C,0.036730718,0.051032554,-0.47442007,0.39006220550624193,0.7181247276412013
DCLK2,0.4098283,0.42206913,-0.042459607,0.3902628138701675,0.7183530939238594
HNRNPAB,0.052236993,0.046692368,0.16188192,0.3908592771990733,0.7193098742019823
SON,1.1195017,1.1254643,-0.007663578,0.391203642393923,0.7198024265424173
GFM1,0.20479256,0.20092437,0.027510405,0.3913433541002802,0.7199183035625154
ENSG00000240499,0.05927176,0.07347381,-0.3098805,0.39135675270457726,0.7198018141294538
DNAAF9,0.83683044,0.84153306,-0.008084625,0.39175309444374995,0.7203895594024426
LINC01535,0.15447296,0.16053401,-0.05552411,0.3917933166295602,0.7203223391374748
SMAD9,0.11925078,0.11107745,0.102431774,0.3918297102901138,0.7202481077472273
PAAF1,0.30747536,0.30796236,-0.0022832155,0.3918316258027501,0.7201105412892069
SAMD4B,0.21531916,0.20412575,0.07701802,0.39220717596328936,0.7206595622576539
ING5,0.1774914,0.17982914,-0.018877506,0.392276178287457,0.7206452133724146
EFCAB13,0.079602905,0.077097826,0.04613042,0.3922915131370158,0.7205322976216685
ENSG00000258561,0.08079229,0.095370166,-0.23931766,0.3923202669597805,0.7204440682357919
BUB3,0.06606317,0.072025925,-0.12466836,0.3923681928377928,0.7203910734254739
ATP5F1D,0.3192837,0.32312286,-0.017243862,0.3923969500686094,0.7203029124522977
HGS,0.07420912,0.07020655,0.07998967,0.39262513605068494,0.7205807954670435
REST,0.16438968,0.17072955,-0.05459261,0.39273446370598053,0.7206404730079228
PLPBP,0.09847182,0.092131875,0.09600973,0.3928361357989195,0.7206860825313772
ENSG00000228925,0.050922442,0.045203757,0.17185497,0.392886018506576,0.7206366814523355
DENR,0.1305603,0.13341786,-0.031235218,0.3929493367018324,0.7206119384160655
NSD3,0.52852505,0.552767,-0.06469947,0.3929704441410369,0.7205098117903475
PTK2,0.92338705,0.9205749,0.0044003874,0.39326985996464037,0.7209179027331489
ANKRD10,0.5808888,0.57214767,0.021874428,0.39347146763769214,0.7211465734277843
DIPK1C,0.098204516,0.10578199,-0.107231855,0.3934753083912469,0.7210127623684919
GLDN,0.17314614,0.20222357,-0.22395992,0.3936481658008312,0.7211886529082988
ZNF790,0.20219345,0.20301779,-0.0058698654,0.39376919334260285,0.7212695376689379
NEO1,0.20579098,0.23576581,-0.1961739,0.39395750318071143,0.7214736082064093
LCOR,0.6325891,0.6328074,-0.0004977584,0.39409396578345757,0.7215826672483213
ZNF555,0.060613517,0.066107176,-0.12516522,0.3942439154194586,0.7217163735542167
ADCY9,0.5696722,0.5735087,-0.009683251,0.39430352037383964,0.7216846718976518
APOBEC2,0.1448678,0.16324203,-0.17227459,0.39431121173285877,0.7215579848795945
FLYWCH1,0.18657327,0.19298594,-0.048753023,0.39476323839268457,0.7222442867785036
VPS11,0.058139987,0.06060541,-0.05991459,0.39509620714256444,0.7227125395616181
PLOD3,0.057963632,0.052133538,0.1529336,0.39515396465759145,0.7226772897500044
